"","adult_female","adult_male","juvenile_female","juvenile_male","total"
"1",1291628.98044725,2620903.60738341,632464.730510489,632464.730510489,5177462.04885164
"2",1700070.2762225,2873928.40513563,0,0,4573998.68135813
"3",1700070.2762225,2873928.40513563,0,0,4573998.68135813
