"","adult_female","adult_male","juvenile_female","juvenile_male","total"
"1",1291629.45376531,2620906.23147464,632464.797237111,632464.797237111,5177465.27971417
"2",1700070.62828084,2873930.57058942,0,0,4574001.19887027
"3",1700070.62828084,2873930.57058942,0,0,4574001.19887027
