"","adult_female","adult_male","juvenile_female","juvenile_male","total"
"1",576346.791537001,1364617.24348295,229758.0900151,229758.0900151,2400480.21505015
"2",758491.802259028,1500201.41585984,0,0,2258693.21811887
"3",758491.802259028,1500201.41585984,0,0,2258693.21811887
