"","adult_female","adult_male","juvenile_female","juvenile_male","total"
"1",852259.154556655,1456653.21003349,435549.614391537,412216.599334848,3156678.57831653
"2",1196477.28951413,1736213.05617926,0,0,2932690.34569339
"3",1196477.28951413,1736213.05617926,0,0,2932690.34569339
